date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:38	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:36%20GMT	https://mobiledirectflooring.com/hardwood-flooring	mobiledirectflooring.com/hardwood-flooring	(from https://mobiledirectflooring.com/)
13:56:39	38025/38025	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:16:22%20GMT	https://mobiledirectflooring.com/hardwood-flooring/	mobiledirectflooring.com/hardwood-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:39	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:38%20GMT	https://mobiledirectflooring.com/vinyl-flooring	mobiledirectflooring.com/vinyl-flooring	(from https://mobiledirectflooring.com/)
13:56:40	37982/37982	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:29:43%20GMT	https://mobiledirectflooring.com/vinyl-flooring/	mobiledirectflooring.com/vinyl-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:41	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:40%20GMT	https://mobiledirectflooring.com/tile-flooring	mobiledirectflooring.com/tile-flooring	(from https://mobiledirectflooring.com/)
13:56:42	37892/37892	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2020:23:34%20GMT	https://mobiledirectflooring.com/tile-flooring/	mobiledirectflooring.com/tile-flooring/index.html	(from https://mobiledirectflooring.com/)
13:56:42	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:41%20GMT	https://mobiledirectflooring.com/financing-for-flooring	mobiledirectflooring.com/financing-for-flooring	(from https://mobiledirectflooring.com/)
13:56:44	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:43%20GMT	https://mobiledirectflooring.com/flooring-special	mobiledirectflooring.com/flooring-special	(from https://mobiledirectflooring.com/)
13:56:45	37931/37931	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2020:40:51%20GMT	https://mobiledirectflooring.com/flooring-special/	mobiledirectflooring.com/flooring-special/index.html	(from https://mobiledirectflooring.com/)
13:56:45	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:44%20GMT	https://mobiledirectflooring.com/about-us	mobiledirectflooring.com/about-us	(from https://mobiledirectflooring.com/)
13:56:46	52959/52959	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2019:21:33%20GMT	https://mobiledirectflooring.com/about-us/	mobiledirectflooring.com/about-us/index.html	(from https://mobiledirectflooring.com/)
13:56:47	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:46%20GMT	https://mobiledirectflooring.com/contact-us	mobiledirectflooring.com/contact-us	(from https://mobiledirectflooring.com/)
13:56:48	43180/43180	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2019:21:30%20GMT	https://mobiledirectflooring.com/contact-us/	mobiledirectflooring.com/contact-us/index.html	(from https://mobiledirectflooring.com/)
13:56:48	49257/49257	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:21:43%20GMT	https://mobiledirectflooring.com/area-we-serve/	mobiledirectflooring.com/area-we-serve/index.html	(from https://mobiledirectflooring.com/)
13:56:48	26/26	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:56:47%20GMT	https://mobiledirectflooring.com/schedule	mobiledirectflooring.com/schedule	(from https://mobiledirectflooring.com/)
13:56:49	44023/44023	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2019:21:27%20GMT	https://mobiledirectflooring.com/schedule/	mobiledirectflooring.com/schedule/index.html	(from https://mobiledirectflooring.com/)
13:56:49	86399/86399	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202018%2005:37:14%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/mdf-van.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/mdf-van.jpg	(from https://mobiledirectflooring.com/)
13:56:50	130874/130874	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Mar%202018%2006:24:43%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/03/carpet.jpg	mobiledirectflooring.com/wp-content/uploads/2018/03/carpet.jpg	(from https://mobiledirectflooring.com/)
